species;count;breedingtime;finbif_species;identifier
Aythya ferina;160;;Aythya ferina;MX.26407
Xenus cinereus;158;;Xenus cinereus;MX.27632
Phalacrocorax carbo;158;;Phalacrocorax carbo;MX.26043
Emberiza pusilla;155;;Emberiza pusilla;MX.35165
Zapornia parva;150;;Porzana parva;MX.27342
Sternula albifrons;146;late;Sternula albifrons;MX.27821
Perisoreus infaustus;145;;Perisoreus infaustus;MX.37095
Chlidonias niger;132;late;Chlidonias niger;MX.27791
Iduna caligata;126;late;Iduna caligata;MX.33671
Stercorarius longicaudus;124;late;Stercorarius longicaudus;MX.27731
Anthus campestris;122;late;Anthus campestris;MX.32207
Charadrius morinellus;108;late;Charadrius morinellus;MX.27597
Spatula querquedula;106;;Anas querquedula;MX.26388
Calidris canutus;92;late;Calidris canutus;MX.27682
Lymnocryptes minimus;89;late;Lymnocryptes minimus;MX.27674
Calidris alba;89;late;Calidris alba;MX.27684
Clanga clanga;75;late;Aquila clanga;MX.26723
Tringa stagnatilis;74;late;Tringa stagnatilis;MX.27621
Asio flammeus;70;;Asio flammeus;MX.29072
Lagopus muta;64;;Lagopus muta;MX.26922
Mergus serrator;62;late;Mergus serrator;MX.26440
Circus pygargus;51;late;Circus pygargus;MX.26596
Circus cyaneus;51;late;Circus cyaneus;MX.26592
Falco rusticolus;45;late;Falco rusticolus;MX.26825
Bubo scandiacus;42;;Bubo scandiacus;MX.28987
Calidris ferruginea;35;late;Calidris ferruginea;MX.27700
Calidris minuta;34;late;Calidris minuta;MX.27688
Melanitta fusca;28;;Melanitta fusca;MX.26431
Anser erythropus;28;late;Anser erythropus;MX.26290
Mergellus albellus;18;late;Mergellus albellus;MX.26438
Calidris maritima;14;late;Calidris maritima;MX.27697
Calidris falcinellus;11;late;Calidris falcinellus;MX.27704
Phalaropus lobatus;10;late;Phalaropus lobatus;MX.27646
Aythya marila;6;;Aythya marila;MX.26416
Circus macrourus;5;late;Circus macrourus;MX.26594
