society;municipality;square_name;ykj_n;ykj_e;level1;level2;level3;level4;level5
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Hankamäki;702;357;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Vaikko;702;358;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Juuka;Ala-Ruokonen;702;359;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Juuka;Ylemmäisenjärvi;702;360;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Juuka;Kannaksenkylä;702;361;1;69.12;120.64;163.84;192.64
Pohjois-Karjalan lintutieteellinen yhdistys ry;Juuka;Paalasmaa;702;362;1;69.12;120.64;163.84;192.64
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Iso Ristisaari;702;363;1;69.12;120.64;163.84;192.64
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Västäräkki;702;364;1;69.12;120.64;163.84;192.64
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Lieksan keskusta;702;365;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Maksimonvaara;702;366;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Hatunkylä;702;367;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Kitsi;702;368;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Louhivaara;702;369;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Haapavaara;702;370;1;86.4;150.8;204.8;240.8
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Ylä-Viitajärvi;702;371;1;69.12;120.64;163.84;192.64
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Västra Norskär;703;317;1;19.5;40;52.2;65.3
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Östra Norrskär;703;318;1;51.8;104.6;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Fressas stenarna;703;319;1;19.5;40;52.2;65.3
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Klobbskat;703;320;1;80;90;240.6;284.4
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Björköby;703;321;1;80;90;250.2;295.6
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Punakarit;703;322;1;51.8;104.6;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Köklot;703;323;1;93.2;187.4;228.3;270.1
Merenkurkun Lintutieteellinen Yhdistys ry;Vöyri;Västerö;703;324;1;85.9;172.8;210.8;249.8
